cycle_no,bull_start,bull_end,bear_start,bear_end,bull_duration_days,bear_duration_days,cycle_duration_days,bull_duration_years,bear_duration_years,cycle_duration_years,bull_return_pct,bear_return_pct,cycle_return_pct
1,2014-09-17,2014-10-02,2014-10-03,2014-10-11,16,9,25,0.04380561259411362,0.024640657084188913,0.06844626967830253,-17.987296209555627,0.7752224886420356,-20.780217645615494
2,2014-10-12,2014-10-22,2014-10-23,2014-11-09,11,18,29,0.030116358658453114,0.049281314168377825,0.07939767282683094,1.2175380557732485,1.352339729005858,-4.0377872372260875
3,2014-11-10,2014-11-19,2014-11-20,2014-11-22,10,3,13,0.02737850787132101,0.008213552361396304,0.03559206023271732,3.7149330728183827,-1.3749114018854813,-3.8165934564414195
4,2014-11-23,2014-12-07,2014-12-08,2015-11-02,15,330,345,0.04106776180698152,0.9034907597535934,0.944558521560575,2.0463971003846337,-0.19894537784445054,-1.7367986004055536
5,2015-11-03,2015-11-09,2015-11-10,2015-11-28,7,19,26,0.019164955509924708,0.05201916495550993,0.07118412046543464,-5.740958886368642,6.104765973370196,-11.41151243406544
6,2015-11-29,2015-11-30,2015-12-01,2015-12-04,2,4,6,0.0054757015742642025,0.010951403148528405,0.01642710472279261,1.6232441013328103,0.1917325019256122,-2.184520162721404
7,2015-12-05,2016-01-14,2016-01-15,2016-01-15,41,1,42,0.11225188227241616,0.0027378507871321013,0.11498973305954825,10.633012061673043,0.0,-6.329367384954243
8,2016-01-16,2016-01-30,2016-01-31,2016-01-31,15,1,16,0.04106776180698152,0.0027378507871321013,0.04380561259411362,-2.3948757282195587,0.0,-4.843166036422398
9,2016-02-01,2016-02-02,2016-02-03,2016-02-03,2,1,3,0.0054757015742642025,0.0027378507871321013,0.008213552361396304,0.37313387049842106,0.0,-0.8328493928363545
10,2016-02-04,2016-06-21,2016-06-22,2016-06-22,139,1,140,0.3805612594113621,0.0027378507871321013,0.38329911019849416,71.11454169348224,0.0,53.009552713192384
11,2016-06-23,2016-07-31,2016-08-01,2016-09-06,39,37,76,0.10677618069815195,0.10130047912388775,0.2080766598220397,0.11283116828237905,0.6868207096231149,-2.170114579146587
12,2016-09-07,2016-09-10,2016-09-11,2016-09-30,4,20,24,0.010951403148528405,0.05475701574264202,0.06570841889117043,1.4587996510767143,0.49709853162078765,-0.7825348463936121
13,2016-10-01,2016-10-01,2016-10-02,2016-10-06,1,5,6,0.0027378507871321013,0.013689253935660506,0.01642710472279261,0.0,0.3485014020085275,-0.1566778140099867
14,2016-10-07,2017-01-05,2017-01-06,2017-01-21,91,16,107,0.24914442162902123,0.04380561259411362,0.2929500342231348,64.2109167226293,2.1711362478141094,49.36925558629244
15,2017-01-22,2017-01-22,2017-01-23,2017-01-30,1,8,9,0.0027378507871321013,0.02190280629705681,0.024640657084188913,0.0,-0.06840354593060649,-0.46405104422869714
16,2017-01-31,2017-03-17,2017-03-18,2017-03-18,46,1,47,0.12594113620807665,0.0027378507871321013,0.12867898699520877,13.378664668899454,0.0,0.3519133776457295
17,2017-03-19,2017-03-23,2017-03-24,2017-03-26,5,3,8,0.013689253935660506,0.008213552361396304,0.02190280629705681,0.17844161538702608,3.115128791520605,-6.753382266329777
18,2017-03-27,2017-07-10,2017-07-11,2017-07-11,106,1,107,0.29021218343600275,0.0027378507871321013,0.2929500342231348,126.87206692511732,0.0,123.54724226177166
19,2017-07-12,2017-07-12,2017-07-13,2017-07-19,1,7,8,0.0027378507871321013,0.019164955509924708,0.02190280629705681,0.0,-3.582423945103097,-5.2279498280469845
20,2017-07-20,2017-09-12,2017-09-13,2017-09-17,55,5,60,0.15058179329226556,0.013689253935660506,0.16427104722792607,46.60739336394333,-7.719336790481401,27.160695578937144
21,2017-09-18,2017-09-19,2017-09-20,2017-09-24,2,5,7,0.0054757015742642025,0.013689253935660506,0.019164955509924708,-3.4495223396902253,-5.712051256937178,-9.405684046882545
22,2017-09-25,2017-09-25,2017-09-26,2017-09-26,1,1,2,0.0027378507871321013,0.0027378507871321013,0.0054757015742642025,0.0,0.0,-0.858873380148717
23,2017-09-27,2017-11-11,2017-11-12,2017-11-12,46,1,47,0.12594113620807665,0.0027378507871321013,0.12867898699520877,51.34729021552087,0.0,41.64573591544875
24,2017-11-13,2017-12-21,2017-12-22,2017-12-25,39,4,43,0.10677618069815195,0.010951403148528405,0.11772758384668036,140.91659299696678,1.4083474850574706,113.83673285873073
25,2017-12-26,2017-12-27,2017-12-28,2018-01-03,2,7,9,0.0054757015742642025,0.019164955509924708,0.024640657084188913,-1.6230003345223065,4.0701057748262714,-5.582676900279293
26,2018-01-04,2018-01-07,2018-01-08,2020-11-10,4,1038,1042,0.010951403148528405,2.841889117043121,2.8528405201916494,5.63105417626768,0.7963212996989544,-1.976369606790107
27,2020-11-11,2021-01-20,2021-01-21,2021-01-21,71,1,72,0.1943874058863792,0.0027378507871321013,0.1971252566735113,126.39946879533319,0.0,96.32527876925312
28,2021-01-22,2021-01-22,2021-01-23,2021-01-27,1,5,6,0.0027378507871321013,0.013689253935660506,0.01642710472279261,0.0,-5.098895870320019,-7.796259530917604
29,2021-01-28,2021-02-27,2021-02-28,2021-02-28,31,1,32,0.08487337440109514,0.0027378507871321013,0.08761122518822724,38.01565273438452,0.0,34.87610654485807
30,2021-03-01,2021-04-23,2021-04-24,2021-04-25,54,2,56,0.14784394250513347,0.0054757015742642025,0.15331964407939766,2.946551590881441,-2.091099195802515,-1.263293549819533
31,2021-04-26,2021-05-11,2021-05-12,2021-09-04,16,116,132,0.04380561259411362,0.31759069130732376,0.3613963039014374,4.966185135632206,1.6156280724626493,-7.547198325558813
32,2021-09-05,2021-09-06,2021-09-07,2021-10-04,2,28,30,0.0054757015742642025,0.07665982203969883,0.08213552361396304,1.7006125728580734,4.9171500266738555,-5.1020943441755335
33,2021-10-05,2021-11-25,2021-11-26,2021-11-26,52,1,53,0.14236824093086928,0.0027378507871321013,0.14510609171800137,11.180992238882759,0.0,3.989052905899637
34,2021-11-27,2021-12-02,2021-12-03,2024-02-25,6,815,821,0.01642710472279261,2.2313483915126624,2.2477754962354553,3.0333593203284437,-3.47960604762676,-5.622248383414119
35,2024-02-26,2024-04-30,2024-05-01,2024-05-01,65,1,66,0.17796030116358658,0.0027378507871321013,0.1806981519507187,11.214570272325709,0.0,6.8441763652913545
36,2024-05-02,2024-07-03,2024-07-04,2024-07-12,63,9,72,0.17248459958932238,0.024640657084188913,0.1971252566735113,1.7767714379853805,1.6177586462686966,-2.07019226658951
37,2024-07-13,2024-08-03,2024-08-04,2024-08-07,22,4,26,0.06023271731690623,0.010951403148528405,0.07118412046543464,2.444863875995984,-5.316029511062881,-7.098351422967697
38,2024-08-08,2024-08-14,2024-08-15,2024-08-15,7,1,8,0.019164955509924708,0.0027378507871321013,0.02190280629705681,-4.817469779801553,0.0,-6.725052451940283
39,2024-08-16,2024-08-31,2024-09-01,2024-09-01,16,1,17,0.04380561259411362,0.0027378507871321013,0.04654346338124572,0.12869364114922455,0.0,-2.663453625817158
40,2024-09-02,2024-09-02,2024-09-03,2024-09-12,1,10,11,0.0027378507871321013,0.02737850787132101,0.030116358658453114,0.0,1.2118681499859063,-1.667107761652753
41,2024-09-13,2024-09-15,2024-09-16,2024-09-16,3,1,4,0.008213552361396304,0.0027378507871321013,0.010951403148528405,-2.292281700808052,0.0,-3.9272608282607036
42,2024-09-17,2025-02-25,2025-02-26,2025-02-28,162,3,165,0.44353182751540043,0.008213552361396304,0.4517453798767967,47.136994618688036,0.03080651093663178,39.90225782962688
43,2025-03-01,2025-03-08,2025-03-09,2025-03-18,8,10,18,0.02190280629705681,0.02737850787132101,0.049281314168377825,0.14259788223573988,2.627088883876638,-3.8513778271780486
44,2025-03-19,2025-03-19,2025-03-20,2025-03-22,1,3,4,0.0027378507871321013,0.008213552361396304,0.010951403148528405,0.0,-0.3976738636202293,-3.4790963054924684
45,2025-03-23,2025-03-27,2025-03-28,2025-03-31,5,4,9,0.013689253935660506,0.010951403148528405,0.024640657084188913,1.3046711018469326,-2.138905788841794,-4.073541801332004
46,2025-04-01,2025-04-01,2025-04-02,2025-04-11,1,10,11,0.0027378507871321013,0.02737850787132101,0.030116358658453114,0.0,1.1142839039072205,-2.0715663879994684
47,2025-04-12,2025-04-12,2025-04-13,2025-04-18,1,6,7,0.0027378507871321013,0.01642710472279261,0.019164955509924708,0.0,0.9151321497091525,-0.9805757207960286
48,2025-04-19,2025-11-12,2025-11-13,2026-02-24,208,104,312,0.5694729637234771,0.28473648186173856,0.8542094455852156,19.51458640644659,-36.78979983119247,-25.915289117484686
