segment_id,regime,start_date,end_date,start_close,end_close,min_close,max_close,min_drawdown_pct,max_drawdown_pct,n_days,segment_return_pct,duration_days,duration_years
1,bull,2014-09-30,2014-12-31,386.9440002441406,320.1929931640625,320.1929931640625,386.9440002441406,-17.250818474498086,0.0,4,-17.250818474498086,93,0.2546201232032854
2,bear,2015-01-31,2015-09-30,217.4640045166016,236.05999755859372,217.4640045166016,284.6499938964844,-43.799618451405465,-26.43638518315681,9,8.551297067911978,243,0.6652977412731006
3,bull,2015-10-31,2017-12-31,314.1659851074219,14156.400390625,314.1659851074219,14156.400390625,-18.808410284382184,0.0,27,4406.0258149158135,793,2.1711156741957565
4,bear,2018-01-31,2020-07-31,10221.099609375,11323.466796875,3457.792724609375,11323.466796875,-75.57435061741205,-20.01168033948867,31,10.785211275006912,913,2.4996577686516086
5,bull,2020-08-31,2020-08-31,11680.8203125,11680.8203125,11680.8203125,11680.8203125,-17.48735561170225,-17.48735561170225,1,0.0,1,0.0027378507871321013
6,bear,2020-09-30,2020-09-30,10784.4912109375,10784.4912109375,10784.4912109375,10784.4912109375,-23.818972949652718,-23.818972949652718,1,0.0,1,0.0027378507871321013
7,bull,2020-10-31,2021-04-30,13780.9951171875,57750.17578125,13780.9951171875,58918.83203125,-2.6518413090810156,0.0,7,319.05664496771095,182,0.49828884325804246
8,bear,2021-05-31,2021-07-31,37332.85546875,41626.1953125,35040.8359375,41626.1953125,-40.52693386909865,-29.349931291200992,3,11.500164640081723,62,0.1697467488021903
9,bull,2021-08-31,2021-08-31,47166.6875,47166.6875,47166.6875,47166.6875,-19.94632976603605,-19.94632976603605,1,0.0,1,0.0027378507871321013
10,bear,2021-09-30,2021-09-30,43790.89453125,43790.89453125,43790.89453125,43790.89453125,-25.675895088986632,-25.675895088986632,1,0.0,1,0.0027378507871321013
11,bull,2021-10-31,2021-11-30,61318.95703125,57005.42578125,57005.42578125,61318.95703125,-7.034580264960633,0.0,2,-7.034580264960633,31,0.08487337440109514
12,bear,2021-12-31,2024-01-31,46306.4453125,42582.60546875,16547.49609375,46306.4453125,-73.01406140140823,-24.48265992374784,26,-8.041731164246336,762,2.086242299794661
13,bull,2024-02-29,2025-10-31,61198.3828125,109556.1640625,58969.8984375,115758.203125,-19.389780606923658,0.0,21,79.0180704581016,611,1.672826830937714
14,bear,2025-11-30,2026-02-28,90394.3125,63018.984375,63018.984375,90394.3125,-45.55981116349071,-21.91109566344178,4,-30.28434795054169,91,0.24914442162902123
